name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, norad_catalog_number, multiple_name_flag, payload_flag, operational_status_code, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
RASAT, Turkey, Turkey, Space Technologies Research Institute, Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 667, 697, 0.002127056154282473, 98.2, 98.4, 113, null, null, 2011-08-17, 3 yrs., Space Technologies Research Institute, Turkey, Dombarovsky Air Base, Dnepr 1 , 2011-044D, 37791, Primary objectives are to advance Turkish space technology and know-how and observe natural and manmade disasters. monitor coastline changes and pollution. detect illegal settlements and urban land changes. and update existing maps., null, www.satellitedebris.net 12/12, http://www.asmmag.com/201108192003/rasat-earth-observation-satellite-puts-turkey-in-space.html, http://www.lib.cas.cz/space.40/2011/044D.HTM, null, null, null, null, 2011, 44, D, 37791, null, *, +, TURK, 2011-01-17, DLS, null, 98.1, null, 694, 662, 0.581, null
SES-2, USA, USA, SES World Skies (SES [Société Européenne des Satellites (SES)]), Commercial, Communications, null, GEO, null, -87, 35778, 35798, 0.00023720290336353718, 0.01, 1436.19, 3200, null, 5000, 2011-09-21, 15-18 yrs., Orbital Sciences Corp., USA, Guiana Space Center, Ariane 5 ECA, 2011-049A, 37809, 24 active C-band and 24 Ku-band transponders;  provides comprehensive coverage of North America and the Caribbean. Also features the Commercially Hosted InfraRed Payload (CHIRP) for U.S. Air Force--wide-field of view sensor to validate space-based infrared technologies from geosynchronous orbit., null, JM/1_12, http://www.orbital.com/NewsInfo/MissionUpdates/SES-2/, http://www.ses.com/4628194/ses-2, null, http://www.lib.cas.cz/space.40//2011/049B.HTM, null, null, 2011, 49, A, 37809, null, *, +, SES, 2011-01-21, FRGUI, null, 0, null, 35798, 35775, 9.3468, null
SES-3, NR, USA, SES World Skies (SES [Société Européenne des Satellites (SES)]), Commercial, Communications, null, GEO, null, -103, 35850, 35852, 0.000023684896141730418, 0.05, 1439.41, 3112, null, null, 2011-07-15, 15 yrs., Orbital Sciences Corp., USA, Baikonur Cosmodrome, Proton M, 2011-035A, 37748, 24 C-band; 24 Ku-band. CONUS., null, SC - ASCR, http://en.ses.com/4628131/ses-3, http://www.lib.cas.cz/space.40/2011/035A.HTM, http://www.planet4589.org/space/log/geo.log, null, null, null, 2011, 35, A, 37748, null, *, +, US, 2011-01-15, TYMSC, null, 0, null, 35797, 35777, 19.9526, null
SES-4, NR, USA, SES World Skies (SES [Société Européenne des Satellites (SES)]), Commercial, Communications, null, GEO, null, -22, 35781, 35792, 0.00013046623889554398, 0.05, 1436.1, null, null, 20000, 2012-02-14, 15 yrs., Space Systems/Loral, USA, Baikonur Cosmodrome, Proton M, 2012-007A, 38087, 52 C-band; 72 Ku-band. Americas. Europe. Africa and the Middle East. , null, ZARYA, http://www.ses.com/4233325/news/2012/11352914, http://www.spaceflightnow.com/proton/ses4/status.html, null, null, null, null, 2012, 7, A, 38087, null, *, +, SES, 2012-01-14, TYMSC, null, 0, null, 35797, 35777, 63.3469, null
SES-6, NR, USA, SES World Skies (SES [Société Européenne des Satellites (SES)]), Commercial, Communications, null, GEO, null, -40.5, 35757, 35816, 0.0006997734631670086, 0.13, 1436.09, 6140, null, null, 2013-06-03, 15 yrs., EADS Astrium, France/UK/Germany, Baikonur Cosmodrome, Proton M, 2013-026A, 39172, Direct-to home broadcasts and VSat terminal services - Atlantic Ocean region., null, SC - ASCR, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, http://www.ses.com/4628404/ses-6, http://www.space-airbusds.com/en/programmes/astra-2e-astra-2f-astra-2g-and-astra-5b-added-flexibility-and-improved.html, null, null, null, 2013, 26, A, 39172, null, *, +, SES, 2013-01-03, TYMSC, null, 0, null, 35796, 35777, 79.6214, null
SES-8, NR, USA, SES World Skies (SES [Société Européenne des Satellites (SES)]), Commercial, Communications, null, GEO, null, 95, 35777, 35795, 0.0002134927412467976, 0.02, 1436.07, 3138, null, null, 2013-12-03, 15 yrs., Orbital Sciences Corp., USA, Cape Canaveral, Falcon 9, 2013-071A, 39460, Direct broadcast TV and communications network services to India and south-east Asia., null, SC - ASCR, http://www.ses.com/4629034/ses-8, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2013/071A.HTM, null, null, null, null, 2013, 71, A, 39460, null, *, +, SES, 2013-01-03, AFETR, null, 0, null, 35800, 35774, 53.3274, null
SES-9, NR (5/16), USA, SES World Skies (SES [Société Européenne des Satellites (SES)]), Commercial, Communications, null, GEO, null, 108.02, 35787, 35791, 0.00004743945539505206, 0.05, 1436.2, 5271, 2835, 12700, 2016-03-04, 15 yrs., Boeing Satellite Systems, USA, Cape Canaveral, Falcon 9, 2016-013A, 41380, All Ku-band. 57 transponders.  Asia-Pacific region, null, Space50, http://spaceflight101.com/falcon-9-ses-9/ses-9-satellite/, http://space50.org/objekt.php?mot=2016-013A, http://spaceflightnow.com/2016/03/05/tv-broadcasting-satellite-finally-launched-on-falcon-9/, null, null, null, 2016, 13, A, 41380, null, *, +, SES, 2016-01-04, AFETR, null, 0, null, 35796, 35777, 20.5325, null
TSUBAME, NR, Japan, Tokyo Institute of Technology. Tokyo University of Science and JAXA, Civil, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 505, 569, 0.004632981033733893, 97.47, 95.38, 49, null, null, 2014-11-06, null, Tokyo Institute of Technology. Tokyo University of Science and JAXA, Japan, Dombarovsky Air Base, Dnepr, 2014-070E, 40302, Earth observation and observation of gamma ray bursts from the sky., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, https://directory.eoportal.org/web/eoportal/satellite-missions/h/hodoyoshi-1, null, null, null, null, 2014, 70, E, 40302, null, *, -, JPN, 2014-01-06, DLS, null, 97.3, null, 539, 488, 0.503, null
XTAR-EUR, USA, Spain, Ministry of Defense/XTAR, Military/Government, Communications, null, GEO, null, 29.03, 35778, 35792, 0.0001660538488909975, 0.1, 1436.06, 3631, 1412, null, 2005-02-12, 15 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 5 ECA, 2005-005A, 28542, X-band; designed to be compatible with U.S. and NATO SATCOM systems. Contract with US Department of State., null, JM/12_08, http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2005.html, http://www.xtarllc.com/systems/index.htm, http://www.spacewar.com/news/milspace-comms-05n.html, http://investor.loral.com/releasedetail.cfm?ReleaseID=183881, http://www.lib.cas.cz/www/space.40/2005/005A.HTM, null, 2005, 5, A, 28542, null, *, +, US, 2005-01-12, FRGUI, null, 0, null, 35801, 35773, 20.5646, null
BSAT-3A, Japan, Japan, Broadcasting Satellite System Corp., Commercial, Communications, null, GEO, null, 109.91, 35778, 35794, 0.000189771325552709, 0.03, 1436.1, 1980, null, null, 2007-08-14, 13 yrs., Lockheed Martin Commercial Space Systems, USA, Guiana Space Center, Ariane 5 ECA, 2007-036B, 32019, Twelve 130W Ku-band transponders; HD TV., null, JM/12_08, null, http://www.spacemart.com/reports/Lockheed_Martin_Built_BSAT_3a_Satellite_Ready_For_Launch_999.html, http://www.comspacewatch.com/news/viewpr.html?pid=23268, http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf, null, null, 2007, 36, B, 32019, null, *, +, JPN, 2007-01-14, FRGUI, null, 0, null, 35788, 35785, 10.1562, null
BSAT-3B, Japan, Japan, Broadcasting Satellite System Corp., Commercial, Communications, null, GEO, null, 110, 33066, 35725, 0.03261336178876746, 0.07, 1365.61, 2060, 975, null, 2010-10-28, 15 yrs., Lockheed Martin Commercial Space Systems, USA, Guiana Space Center, Ariane 5 ECA, 2010-056B, 37207, Broadcast 130W Ku-band transponders., null, SC - ASCR, http://www.lib.cas.cz/space.40/2010/056B.HTM, http://spacefellowship.com/news/art23646/all-systems-are-nominal-aboard-bsat-3b-satellite.html, null, http://forum.nasaspaceflight.com/index.php?topic=12709.0, null, null, 2010, 56, B, 37207, null, *, +, JPN, 2010-01-28, FRGUI, null, 0.1, null, 35800, 35774, 10, null
GOMX-3, NR (6/16), Denmark, GomSpace ApS, Commercial, Technology Development, null, LEO, Non-Polar Inclined, 0, 394, 409, 0.0011075832533412094, 51.64, 92.6, 3, null, null, 2015-10-05, null, GomSpace/ESA, Denmark, International Space Station, Nanorack Deployer, 1998-067HA, 40949, null, null, JM/12_15, https://eoportal.org/web/eoportal/satellite-missions/g/gomx-3, http://www.gizmag.com/esas-gomx-3-cubesat-goes-online/39903/, http://www.planet4589.org/space/log/satcat.txt, null, null, null, 1998, 67, HA, 40949, null, *, D, DEN, 1998-01-20, TYMSC, 2016-01-18, 51.6, null, 176, 167, 0.05, null
GSAT-10, India, India, Indian Space Research Organization (ISRO), Government, Communications, null, GEO, null, 83, 35777, 35795, 0.0002134927412467976, 0.06, 1436.07, 3400, 1493, null, 2012-09-28, 15 yrs., Indian Space Research Organization (ISRO), India, Guiana Space Center, Ariane 5, 2012-051B, 38779, Also equipped with GAGAN (GPS Aided GEO Augmented Naviation)., null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2012#end, http://www.nasaspaceflight.com/2012/09/ariane-5-eca-launch-with-astra-2f-and-gsat-10-satellites/, http://space50.kosmo.cz/s40/2012/I051B.HTM, null, null, null, 2012, 51, B, 38779, null, *, +, IND, 2012-01-28, FRGUI, null, 0.1, null, 35800, 35773, 13.8482, null
GSAT-12, India, India, Indian Space Research Organization (ISRO), Government, Communications, null, GEO, null, 82.94, 35761, 35811, 0.0005930353923522156, 0.09, 1436.1, 1410, 559, 1430, 2011-07-15, 8 yrs., Indian Space Research Organization (ISRO), India, Satish Dhawan Space Center, PSLV C17, 2011-034A, 37746, C-band expansion at this location. Designed for quick turn-around deployment., null, SC - ASCR 9/11, http://www.isro.org/satellites/gsat-12.aspx, http://www.planet4589.org/space/log/geo.log, http://www.lib.cas.cz/space.40/2011/034A.HTM, null, null, null, 2011, 34, A, 37746, null, *, +, IND, 2011-01-15, SRILR, null, 0.1, null, 35862, 35710, 1.9953, null
GSAT-14, India, India, Indian Space Research Organization (ISRO), Government, Communications, null, GEO, null, 74, 35763, 35810, 0.0005574466570991425, 0.23, 1436.1, 1982, null, null, 2014-01-05, 12 yrs., Indian Space Research Organization (ISRO), India, Satish Dhawan Space Center, GSLV, 2014-001A, 39498, Replacement for GSAT-3., null, SC - ASCR, http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2014/001A.HTM, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, 2014, 1, A, 39498, null, *, +, IND, 2014-01-05, SRILR, null, 0.1, null, 35798, 35775, 4.829, null
GSAT-15, NR (12/15), India, Indian Space Research Organization (ISRO), Government, Communications, null, GEO, null, 93.5, 35782, 35805, 0.00027274775576031403, 0.1, 1436.1, 3164, null, null, 2015-01-10, 12 yrs., Indian Space Research Organization (ISRO), India, Guiana Space Center, Ariane 5, 2015-065A, 41028, null, null, SC - ASCR, http://spaceflightnow.com/2015/11/10/arab-and-indian-satellites-fly-aboard-ariane-5/, http://prehled-druzic.blogspot.cz/2015/11/2015-065.html#2015065A, null, null, null, null, 2015, 65, A, 41028, null, *, +, IND, 2015-01-10, FRGUI, null, 0.1, null, 35797, 35776, 44.212, null
GSAT-16, NR (1/15), India, Indian Space Research Organization (ISRO), Government, Communications, null, GEO, null, 55, 35776, 35798, 0.0002609293830206134, 0.18, 1436.1, 3181, null, null, 2014-12-06, 15 yrs., Indian Space Research Organization (ISRO), India, Guiana Space Center, Ariane 5 ECA, 2014-078A, 40332, Replacement for GSAT-3E. 48 transponders - 12 in the C band. 12 in the extended C and 24 in the Ku band., null, ZARYA, http://www.thehindu.com/news/national/indias-gsat16-launched-successfully/article6669677.ece, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, 2014, 78, A, 40332, null, *, +, IND, 2014-01-06, FRGUI, null, 0.1, null, 35817, 35756, 63.2456, null
GSAT-2, India, India, Indian Space Research Organization (ISRO), Government, Communications/Technology Development, null, GEO, null, 48.04, 35776, 35796, 0.00023721415694088623, 0.04, 1436.07, 1825, null, null, 2003-05-08, 3-5 yrs., Indian Space Research Organization (ISRO), India, Satish Dhawan Space Center, GSLV D2, 2003-018A, 27807, 4 C-band. 2 Ku-band; mobile satellite service., null, JM/12_08, http://www.spacenewsfeed.co.uk/2003/11May2003.html#Launches, http://nssdc.gsfc.nasa.gov/spacewarn/spx595.html, http://www.isro.org/pressrelease/May20_2003.htm, null, null, null, 2003, 18, A, 27807, null, *, -, IND, 2003-01-08, SRILR, null, 6.2, null, 35944, 35867, 0.003, null
GSAT-7, India, India, Indian National Satellite System , Military, Communications, null, GEO, null, 74, 35757, 35814, 0.0006760683659308987, 0.19, 1436, 2650, null, null, 2013-08-29, 7 yrs., Indian Space Research Organization (ISRO), India, Guiana Space Center, Ariane 5 ECA, 2013-044B, 39234, India's first dedicated military satellite., null, ZARYA, http://www.bbc.co.uk/news/world-asia-india-23894646, http://www.zarya.info/Diaries/Launches/Launches.php?year=2013, null, null, null, null, 2013, 44, B, 39234, M, *, +, IND, 2013-01-29, FRGUI, null, 0.1, null, 35812, 35760, 14.285, null
GSAT-8, India, India, Indian Space Research Organization (ISRO), Government, Communications/Navigation, null, GEO, null, 55, 35782, 35796, 0.00016603809388268223, 0.09, 1436.23, 3093, 1426, 6250, 2011-05-20, 12 yrs., Indian Space Research Organization (ISRO), India, Guiana Space Center, Ariane 5, 2011-022A, 37605, Direct-to-home broadcast  and other domestic needs. Equipped with GAGAN (GPS Aided GEO Augmented Navigation)., null, SC - ASCR 9/11, http://articles.timesofindia.indiatimes.com/2011-05-21/india/29568098_1_gsat-8-communication-satellite-indian-national-satellite-system, http://www.lib.cas.cz/space.40/2011/022A.HTM, http://www.planet4589.org/space/log/geo.log, http://ibnlive.in.com/news/gsat8-launched-to-boost-dth-services/153058-11.html, http://www.isro.org/satellites/geostationary.aspx, null, 2011, 22, A, 37605, null, *, +, IND, 2011-01-20, FRGUI, null, 0.1, null, 35803, 35770, 6.3096, null
NSS-12, United Kingdom, Netherlands, SES (Société Européenne des Satellites (SES)), Commercial, Communications, null, GEO, null, 57, 35779, 35793, 0.00016604990985862037, 0.06, 1436.08, null, 5624, null, 2009-10-29, 15 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane 5, 2009-058A, 36032, 48 Ku-band. 40 C-band transponders., null, JM/12_09, http://www.ses-worldskies.com/worldskies/news_and_events/press_releases/index.php?pressRelease=/pressReleases/pressReleaseList/09-10-29-1/index.php, http://nssdc.gsfc.nasa.gov/spacewarn/spx672.html, null, null, null, null, 2009, 58, A, 36032, null, *, +, SES, 2009-01-29, FRGUI, null, 0, null, 35799, 35774, 7.9433, null
NSS-9, United Kingdom, Netherlands, SES (Société Européenne des Satellites (SES)), Commercial, Communications, null, GEO, null, 183, 35784, 35792, 0.00009488116134541487, 0.02, 1436.17, 2238, 1014, 2300, 2009-02-11, 15 yrs., Orbital Sciences Corp., USA, Guiana Space Center, Ariane 5 ECA, 2009-008A, 33749, 28 C-band transponders for voice and video communication., null, SC - ASCR, http://www.ses.com/ses/PDFs/MediaRoom/Satellites/NSS-9_Fact.pdf, http://www.lib.cas.cz/space.40/2009/008B.HTM, http:/nssdc.nasa.gov/spacewarn/spx664.html, http://www.astrium.eads.net/en/press-center/launch-kits/2009/vol-187-ariane-5-2013-satellites-hot-birdtm-10-nss-9-spirale-a-b-1/vol-187-ariane-5-2013-satellites-hot-birdtm-10-nss-9-spirale-a-b, null, null, 2009, 8, A, 33749, null, *, +, SES, 2009-01-12, FRGUI, null, 0, null, 35796, 35777, 50.1187, null
O3B FM10, United Kingdom, United Kingdom, O3b Networks Ltd., Commercial, Communications, null, MEO, Equatorial, 0, 8063, 8069, 0.00020781379883624273, 0.04, 287.93, 650, null, 1500, 2014-12-18, null, Thales Alenia Space, France, Guiana Space Center, Soyuz-ST-B, 2014-083A, 40348, null, null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, null, 2014, 83, A, 40348, null, *, +, O3B, 2014-01-18, FRGUI, null, 0.1, null, 8070, 8062, 0.4981, null
O3B FM11, United Kingdom, United Kingdom, O3b Networks Ltd., Commercial, Communications, null, MEO, Equatorial, 0, 8063, 8069, 0.00020781379883624273, 0.04, 287.93, 650, null, 1500, 2014-12-18, null, Thales Alenia Space, France, Guiana Space Center, Soyuz-ST-B, 2014-083B, 40349, null, null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, null, 2014, 83, B, 40349, null, *, +, O3B, 2014-01-18, FRGUI, null, 0.1, null, 8069, 8062, 12.2583, null
O3B FM12, United Kingdom, United Kingdom, O3b Networks Ltd., Commercial, Communications, null, MEO, Equatorial, 0, 8063, 8069, 0.00020781379883624273, 0.04, 287.93, 650, null, 1500, 2014-12-18, null, Thales Alenia Space, France, Guiana Space Center, Soyuz-ST-B, 2014-083C, 40350, null, null, ZARYA, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, null, null, null, null, null, 2014, 83, C, 40350, null, *, +, O3B, 2014-01-18, FRGUI, null, 0.1, null, 8070, 8062, 7.8074, null
OPTOS, NR, Spain, Spanish Space Agency, Government, Technology Development, null, LEO, Sun-Synchronous, 0, 594, 797, 0.014365579222984927, 97.8, 98.7, 3, null, null, 2013-11-21, null, Instituto Nacional de Tecnica Aerospacial (INTA), Spain, Dombarovsky Air Base, Dnepr, 2013-066E, 39420, Study degradation of lenses in space environment by imaging the same region repeatedly under the same light conditions. FIBOS (Fiber Bragg Gratings for Optical Sensing) to measure temperature. and the GMR (Giant Magneto-Resistance) system to study magnetic fluxes in the Earth's magnetic field., null, ZARYA, https://directory.eoportal.org/web/eoportal/satellite-missions/o/optos, null, null, null, null, null, 2013, 66, E, 39420, null, *, +, SPN, 2013-01-21, DLS, null, 97.7, null, 784, 588, 0.051, null
